curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,68,40,1.7,2025,1,etec-albert-einstein
Comércio Exterior,Noite,66,40,1.65,2025,1,etec-albert-einstein
Desenvolvimento de Sistemas,Noite,129,40,3.22,2025,1,etec-albert-einstein
Eletrônica,Noite,56,40,1.4,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,297,40,7.42,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,83,40,2.07,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,479,40,11.97,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Manhã,291,40,7.27,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Tarde,115,40,2.87,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,124,40,3.1,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Tarde,46,40,1.14,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,100,40,2.5,2025,1,etec-albert-einstein
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec,Manhã,396,40,9.9,2025,1,etec-albert-einstein
Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias,Manhã,175,40,4.37,2025,1,etec-albert-einstein
Serviços Jurídicos,Noite,80,40,2,2025,1,etec-albert-einstein
