curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Açúcar e Álcool,Noite,66,40,1.65,2025,1,etec-amim-jundi
Enfermagem,Noite,77,40,1.92,2025,1,etec-amim-jundi
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,206,40,5.15,2025,1,etec-amim-jundi
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,166,40,4.15,2025,1,etec-amim-jundi
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,145,40,3.62,2025,1,etec-amim-jundi
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,165,40,4.12,2025,1,etec-amim-jundi
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,155,40,3.87,2025,1,etec-amim-jundi
Farmácia,Noite,97,40,2.42,2025,1,etec-amim-jundi
Informática,Noite,88,40,2.2,2025,1,etec-amim-jundi
Logística,Noite,62,40,1.55,2025,1,etec-amim-jundi
Meio Ambiente,Noite,62,40,1.55,2025,1,etec-amim-jundi
Redes de Computadores,Noite,60,40,1.5,2025,1,etec-amim-jundi
Segurança do Trabalho,Noite,77,40,1.92,2025,1,etec-amim-jundi
