curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,50,40,1.25,2025,1,etec-antonio-de-padua-cardoso
Desenvolvimento de Sistemas,Noite,38,40,0.95,2025,1,etec-antonio-de-padua-cardoso
Enfermagem,Tarde,67,40,1.67,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,73,40,1.82,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,63,40,1.57,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,33,40,0.82,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec-PI,Manhã e Tarde,80,40,2,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,104,40,2.6,2025,1,etec-antonio-de-padua-cardoso
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,96,40,2.4,2025,1,etec-antonio-de-padua-cardoso
Farmácia,Noite,60,40,1.5,2025,1,etec-antonio-de-padua-cardoso
Mecânica,Noite,63,40,1.57,2025,1,etec-antonio-de-padua-cardoso
Recursos Humanos,Noite,44,40,1.1,2025,1,etec-antonio-de-padua-cardoso
