curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Agenciamento de Viagem,Noite,40,40,1,2025,1,etec-aristoteles-ferreira
Desenho de Construção Civil,Noite,43,40,1.07,2025,1,etec-aristoteles-ferreira
Edificações,Noite,53,40,1.32,2025,1,etec-aristoteles-ferreira
Eletrônica - 20% On-line,Noite,51,40,1.27,2025,1,etec-aristoteles-ferreira
Eletrotécnica,Noite,143,40,3.57,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Tarde,96,36,2.66,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec - AMS,Manhã,361,36,10.02,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Tarde,95,36,2.63,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,88,36,2.44,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Eletrotécnica - MTec,Manhã,102,36,2.83,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,367,36,10.19,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - Mtec-N,Noite,44,36,1.22,2025,1,etec-aristoteles-ferreira
Ensino Médio com Habilitação Profissional de Técnico em Programação de Jogos Digitais - MTec,Tarde,187,36,5.19,2025,1,etec-aristoteles-ferreira
Guia de Turismo Internacional - Especialização,Noite,49,36,1.36,2025,1,etec-aristoteles-ferreira
Informática,Tarde,74,40,1.85,2025,1,etec-aristoteles-ferreira
Mecânica,Noite,104,40,2.6,2025,1,etec-aristoteles-ferreira
Mecatrônica,Noite,65,40,1.62,2025,1,etec-aristoteles-ferreira
Soldagem,Noite,66,40,1.65,2025,1,etec-aristoteles-ferreira
