curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Alimentos - 20% On-line,Noite,44,40,1.1,2025,1,etec-benedito-storani
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,163,40,4.07,2025,1,etec-benedito-storani
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,80,40,2,2025,1,etec-benedito-storani
Ensino Médio com Habilitação Profissional de Técnico em Agropecuária - MTec-PI,Manhã e Tarde,234,40,5.85,2025,1,etec-benedito-storani
Ensino Médio com Habilitação Profissional de Técnico em Alimentos - MTec,Manhã,193,40,4.82,2025,1,etec-benedito-storani
Ensino Médio com Habilitação Profissional de Técnico em Gastronomia - MTec,Tarde,128,40,3.2,2025,1,etec-benedito-storani
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec-PI,Manhã e Tarde,228,40,5.7,2025,1,etec-benedito-storani
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec-PI,Manhã e Tarde,177,40,4.42,2025,1,etec-benedito-storani
Gastronomia - 20% On-line,Noite,89,40,2.22,2025,1,etec-benedito-storani
Nutrição e Dietética - 20% On-line,Noite,53,40,1.32,2025,1,etec-benedito-storani
Química,Noite,91,40,2.27,2025,1,etec-benedito-storani
Viticultura e Enologia,Noite,53,40,1.32,2025,1,etec-benedito-storani
