curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Eletrônica,Noite,60,35,1.71,2025,1,etec-bento-quirino
Eletrotécnica,Noite,76,35,2.17,2025,1,etec-bento-quirino
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,118,35,3.37,2025,1,etec-bento-quirino
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,432,35,12.34,2025,1,etec-bento-quirino
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,611,35,17.45,2025,1,etec-bento-quirino
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec - AMS,Tarde,287,35,8.19,2025,1,etec-bento-quirino
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - Mtec-N,Noite,92,35,2.62,2025,1,etec-bento-quirino
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec-PI,Manhã e Tarde,291,35,8.31,2025,1,etec-bento-quirino
Ensino Médio com Habilitação Profissional de Técnico em Eletrotécnica - MTec,Manhã,209,35,5.97,2025,1,etec-bento-quirino
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec-PI,Manhã e Tarde,193,35,5.51,2025,1,etec-bento-quirino
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec-PI,Manhã e Tarde,256,35,7.31,2025,1,etec-bento-quirino
Mecânica,Noite,60,35,1.71,2025,1,etec-bento-quirino
