curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Design Gráfico,Noite,94,40,2.35,2025,1,etec-carlos-de-campos
Enfermagem,Manhã,246,40,6.15,2025,1,etec-carlos-de-campos
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec,Manhã,128,40,3.2,2025,1,etec-carlos-de-campos
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec,Tarde,52,40,1.3,2025,1,etec-carlos-de-campos
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Manhã,218,40,5.45,2025,1,etec-carlos-de-campos
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Tarde,107,40,2.67,2025,1,etec-carlos-de-campos
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Manhã,104,40,2.6,2025,1,etec-carlos-de-campos
Ensino Médio com Habilitação Profissional de Técnico em Gastronomia - MTec,Tarde,178,40,4.45,2025,1,etec-carlos-de-campos
Ensino Médio com Habilitação Profissional de Técnico em Modelagem do Vestuário - MTec,Tarde,169,40,4.22,2025,1,etec-carlos-de-campos
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,211,40,5.27,2025,1,etec-carlos-de-campos
Gastronomia,Noite,72,40,1.8,2025,1,etec-carlos-de-campos
Modelagem do Vestuário,Noite,144,40,3.6,2025,1,etec-carlos-de-campos
Nutrição e Dietética,Noite,67,40,1.67,2025,1,etec-carlos-de-campos
