curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Tarde,69,40,1.72,2025,1,etec-carolina-carinhato-sampaio
Administração,Noite,58,40,1.45,2025,1,etec-carolina-carinhato-sampaio
Enfermagem,Manhã,124,40,3.1,2025,1,etec-carolina-carinhato-sampaio
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,542,40,13.55,2025,1,etec-carolina-carinhato-sampaio
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,99,40,2.47,2025,1,etec-carolina-carinhato-sampaio
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,169,40,4.22,2025,1,etec-carolina-carinhato-sampaio
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Tarde,67,40,1.67,2025,1,etec-carolina-carinhato-sampaio
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - Mtec-N,Noite,41,40,1.02,2025,1,etec-carolina-carinhato-sampaio
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Tarde,58,40,1.45,2025,1,etec-carolina-carinhato-sampaio
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,189,40,4.72,2025,1,etec-carolina-carinhato-sampaio
