curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,83,36,2.3,2025,1,etec-coronel-fernando-febeliano-da-costa
Eletrotécnica,Noite,73,36,2.02,2025,1,etec-coronel-fernando-febeliano-da-costa
Enfermagem,Manhã,86,40,2.15,2025,1,etec-coronel-fernando-febeliano-da-costa
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,337,36,9.36,2025,1,etec-coronel-fernando-febeliano-da-costa
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,95,36,2.63,2025,1,etec-coronel-fernando-febeliano-da-costa
Ensino Médio com Habilitação Profissional de Técnico em Logística - Mtec-N,Noite,46,40,1.14,2025,1,etec-coronel-fernando-febeliano-da-costa
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Manhã,208,36,5.77,2025,1,etec-coronel-fernando-febeliano-da-costa
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Tarde,152,36,4.22,2025,1,etec-coronel-fernando-febeliano-da-costa
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec,Manhã,141,36,3.91,2025,1,etec-coronel-fernando-febeliano-da-costa
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,287,36,7.97,2025,1,etec-coronel-fernando-febeliano-da-costa
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Tarde,78,36,2.16,2025,1,etec-coronel-fernando-febeliano-da-costa
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,158,36,4.38,2025,1,etec-coronel-fernando-febeliano-da-costa
Nutrição e Dietética,Noite,42,36,1.16,2025,1,etec-coronel-fernando-febeliano-da-costa
