curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Enfermagem,Tarde,51,40,1.27,2025,1,etec-coronel-raphael-brandao
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,43,40,1.07,2025,1,etec-coronel-raphael-brandao
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,139,40,3.47,2025,1,etec-coronel-raphael-brandao
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - Mtec-N,Noite,45,40,1.12,2025,1,etec-coronel-raphael-brandao
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,173,40,4.32,2025,1,etec-coronel-raphael-brandao
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec-PI,Manhã e Tarde,86,40,2.15,2025,1,etec-coronel-raphael-brandao
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - Mtec-N,Noite,53,40,1.32,2025,1,etec-coronel-raphael-brandao
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec-PI,Manhã e Tarde,216,40,5.4,2025,1,etec-coronel-raphael-brandao
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec-PI,Manhã e Tarde,62,40,1.55,2025,1,etec-coronel-raphael-brandao
Gastronomia,Noite,46,40,1.14,2025,1,etec-coronel-raphael-brandao
Mecânica,Noite,56,40,1.4,2025,1,etec-coronel-raphael-brandao
Química,Noite,47,40,1.17,2025,1,etec-coronel-raphael-brandao
Segurança do Trabalho,Noite,41,40,1.02,2025,1,etec-coronel-raphael-brandao
