curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Canto,Noite,183,30,6.1,2025,1,etec-de-artes
Composição e Arranjo - Especialização,Noite,70,30,2.33,2025,1,etec-de-artes
Dança,Tarde,65,30,2.16,2025,1,etec-de-artes
Dança,Noite,92,30,3.06,2025,1,etec-de-artes
Danças a Dois - Especialização,Tarde,39,30,1.3,2025,1,etec-de-artes
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec,Manhã,277,30,9.23,2025,1,etec-de-artes
Ensino Médio com Habilitação Profissional de Técnico em Eventos - MTec,Manhã,123,30,4.09,2025,1,etec-de-artes
Ensino Médio com Habilitação Profissional de Técnico em Processos Fotográficos - MTec,Tarde,245,30,8.16,2025,1,etec-de-artes
Teatro,Manhã,180,30,6,2025,1,etec-de-artes
Teatro,Tarde,106,30,3.53,2025,1,etec-de-artes
