curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração - 20% On-line,Noite,54,40,1.35,2025,1,etec-de-carapicuiba
Contabilidade,Noite,40,40,1,2025,1,etec-de-carapicuiba
Design Gráfico,Noite,71,40,1.77,2025,1,etec-de-carapicuiba
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,324,40,8.1,2025,1,etec-de-carapicuiba
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Manhã,250,40,6.25,2025,1,etec-de-carapicuiba
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,175,40,4.37,2025,1,etec-de-carapicuiba
Ensino Médio com Habilitação Profissional de Técnico em Multimídia - MTec,Tarde,89,40,2.22,2025,1,etec-de-carapicuiba
Ensino Médio com Habilitação Profissional de Técnico em Processos Fotográficos - MTec,Tarde,81,40,2.02,2025,1,etec-de-carapicuiba
Ensino Médio com Habilitação Profissional de Técnico em Publicidade - MTec-N,Noite,31,40,0.77,2025,1,etec-de-carapicuiba
Processos Fotográficos,Noite,71,40,1.77,2025,1,etec-de-carapicuiba
