curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Tarde,59,40,1.47,2025,1,etec-de-cidade-tiradentes
Administração,Noite,60,40,1.5,2025,1,etec-de-cidade-tiradentes
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,354,40,8.85,2025,1,etec-de-cidade-tiradentes
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,303,40,7.57,2025,1,etec-de-cidade-tiradentes
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,124,40,3.1,2025,1,etec-de-cidade-tiradentes
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Tarde,218,40,5.45,2025,1,etec-de-cidade-tiradentes
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,189,40,4.72,2025,1,etec-de-cidade-tiradentes
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Tarde,131,40,3.27,2025,1,etec-de-cidade-tiradentes
Farmácia,Noite,150,40,3.75,2025,1,etec-de-cidade-tiradentes
Nutrição e Dietética,Manhã,61,40,1.52,2025,1,etec-de-cidade-tiradentes
Química,Noite,51,40,1.27,2025,1,etec-de-cidade-tiradentes
Segurança do Trabalho,Noite,76,40,1.9,2025,1,etec-de-cidade-tiradentes
