curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,92,40,2.29,2025,1,etec-de-embu
Contabilidade,Noite,49,40,1.22,2025,1,etec-de-embu
Desenvolvimento de Sistemas,Noite,157,40,3.92,2025,1,etec-de-embu
Eletroeletrônica,Noite,74,40,1.85,2025,1,etec-de-embu
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,571,40,14.27,2025,1,etec-de-embu
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Manhã,198,40,4.95,2025,1,etec-de-embu
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - Mtec-N,Noite,166,40,4.15,2025,1,etec-de-embu
Ensino Médio com Habilitação Profissional de Técnico em Redes de Computadores - MTec,Manhã,323,40,8.07,2025,1,etec-de-embu
Informática,Tarde,63,40,1.57,2025,1,etec-de-embu
Logística,Noite,31,40,0.77,2025,1,etec-de-embu
