curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,40,40,1,2025,1,etec-de-guaianazes
Administração,Tarde,60,40,1.5,2025,1,etec-de-guaianazes
Desenvolvimento de Sistemas,Tarde,107,40,2.67,2025,1,etec-de-guaianazes
Edificações,Noite,49,40,1.22,2025,1,etec-de-guaianazes
Eletrônica,Noite,34,40,0.85,2025,1,etec-de-guaianazes
Eletrotécnica,Noite,86,40,2.15,2025,1,etec-de-guaianazes
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,469,80,5.86,2025,1,etec-de-guaianazes
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,385,40,9.62,2025,1,etec-de-guaianazes
Nutrição e Dietética,Tarde,54,40,1.35,2025,1,etec-de-guaianazes
Nutrição e Dietética,Noite,57,40,1.42,2025,1,etec-de-guaianazes
