curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,72,40,1.8,2025,1,etec-de-heliopolis-arquiteto-ruy-ohtake
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,130,40,3.25,2025,1,etec-de-heliopolis-arquiteto-ruy-ohtake
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec - AMS,Tarde,87,40,2.17,2025,1,etec-de-heliopolis-arquiteto-ruy-ohtake
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec,Manhã,100,40,2.5,2025,1,etec-de-heliopolis-arquiteto-ruy-ohtake
Ensino Médio com Habilitação Profissional de Técnico em Edificações - Mtec-N,Noite,48,40,1.2,2025,1,etec-de-heliopolis-arquiteto-ruy-ohtake
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,174,40,4.34,2025,1,etec-de-heliopolis-arquiteto-ruy-ohtake
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,169,40,4.22,2025,1,etec-de-heliopolis-arquiteto-ruy-ohtake
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,127,40,3.17,2025,1,etec-de-heliopolis-arquiteto-ruy-ohtake
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - Mtec-N,Noite,16,40,0.4,2025,1,etec-de-heliopolis-arquiteto-ruy-ohtake
Ensino Médio com Habilitação Profissional de Técnico em Programação de Jogos Digitais - MTec,Tarde,87,40,2.17,2025,1,etec-de-heliopolis-arquiteto-ruy-ohtake
