curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,88,40,2.2,2025,1,etec-de-sapopemba
Desenvolvimento de Sistemas,Tarde,120,40,3,2025,1,etec-de-sapopemba
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,337,40,8.42,2025,1,etec-de-sapopemba
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,91,40,2.27,2025,1,etec-de-sapopemba
Ensino Médio com Habilitação Profissional de Técnico em Alimentos - MTec,Manhã,147,40,3.67,2025,1,etec-de-sapopemba
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,428,40,10.7,2025,1,etec-de-sapopemba
Ensino Médio com Habilitação Profissional de Técnico em Gastronomia - MTec-N,Noite,42,40,1.05,2025,1,etec-de-sapopemba
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Tarde,142,40,3.55,2025,1,etec-de-sapopemba
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Tarde,51,40,1.27,2025,1,etec-de-sapopemba
Marketing,Noite,64,40,1.6,2025,1,etec-de-sapopemba
