curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,134,40,3.35,2025,1,etec-de-suzano
Comércio Exterior,Noite,42,40,1.05,2025,1,etec-de-suzano
Contabilidade,Noite,64,40,1.6,2025,1,etec-de-suzano
Enfermagem,Tarde,97,40,2.42,2025,1,etec-de-suzano
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,477,40,11.92,2025,1,etec-de-suzano
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,155,40,3.87,2025,1,etec-de-suzano
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec,Manhã,232,40,5.8,2025,1,etec-de-suzano
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Tarde,324,40,8.1,2025,1,etec-de-suzano
Ensino Médio com Habilitação Profissional de Técnico em Secretariado - MTec,Tarde,143,40,3.57,2025,1,etec-de-suzano
Química,Noite,120,40,3,2025,1,etec-de-suzano
