curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Design Gráfico,Noite,78,40,1.95,2025,1,etec-de-tiquatira
Design Gráfico,Tarde,76,40,1.9,2025,1,etec-de-tiquatira
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,132,40,3.3,2025,1,etec-de-tiquatira
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Manhã,380,40,9.5,2025,1,etec-de-tiquatira
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,304,40,7.6,2025,1,etec-de-tiquatira
Ensino Médio com Habilitação Profissional de Técnico em Modelagem do Vestuário - MTec,Manhã,194,40,4.84,2025,1,etec-de-tiquatira
Ensino Médio com Habilitação Profissional de Técnico em Modelagem do Vestuário - MTec,Tarde,85,40,2.12,2025,1,etec-de-tiquatira
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Tarde,57,40,1.42,2025,1,etec-de-tiquatira
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,234,40,5.85,2025,1,etec-de-tiquatira
Modelagem do Vestuário,Noite,67,40,1.67,2025,1,etec-de-tiquatira
Química,Noite,68,40,1.7,2025,1,etec-de-tiquatira
