curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,76,40,1.9,2025,1,etec-dona-escolastica-rosa
Administração,Tarde,58,40,1.45,2025,1,etec-dona-escolastica-rosa
Comércio Exterior,Noite,138,40,3.45,2025,1,etec-dona-escolastica-rosa
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,292,40,7.3,2025,1,etec-dona-escolastica-rosa
Ensino Médio com Habilitação Profissional de Técnico em Comércio Exterior - MTec-N,Noite,81,40,2.02,2025,1,etec-dona-escolastica-rosa
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec,Manhã,203,40,5.07,2025,1,etec-dona-escolastica-rosa
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,271,40,6.77,2025,1,etec-dona-escolastica-rosa
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - Mtec-N,Noite,35,40,0.87,2025,1,etec-dona-escolastica-rosa
Ensino Médio com Habilitação Profissional de Técnico em Segurança do Trabalho - MTec,Manhã,146,40,3.65,2025,1,etec-dona-escolastica-rosa
Logística,Tarde,66,40,1.65,2025,1,etec-dona-escolastica-rosa
Segurança do Trabalho,Noite,116,40,2.9,2025,1,etec-dona-escolastica-rosa
