curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração - 20% On-line,Noite,69,40,1.72,2025,1,etec-doutor-adail-nunes-da-silva
Enfermagem,Manhã,64,40,1.6,2025,1,etec-doutor-adail-nunes-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,89,40,2.22,2025,1,etec-doutor-adail-nunes-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Alimentos - MTec-PI,Manhã e Tarde,81,40,2.02,2025,1,etec-doutor-adail-nunes-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec-PI,Manhã e Tarde,85,40,2.12,2025,1,etec-doutor-adail-nunes-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec-PI,Manhã e Tarde,70,40,1.75,2025,1,etec-doutor-adail-nunes-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec-N,Noite,60,40,1.5,2025,1,etec-doutor-adail-nunes-da-silva
Informática para Internet - 20% On-line,Noite,72,40,1.8,2025,1,etec-doutor-adail-nunes-da-silva
Nutrição e Dietética - 20% On-line,Noite,67,40,1.67,2025,1,etec-doutor-adail-nunes-da-silva
Química - 20% On-line,Noite,63,40,1.57,2025,1,etec-doutor-adail-nunes-da-silva
