curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Desenvolvimento de Sistemas,Noite,95,40,2.37,2025,1,etec-doutor-demetrio-azevedo-junior
Edificações - 20% On-line,Noite,64,40,1.6,2025,1,etec-doutor-demetrio-azevedo-junior
Eletroeletrônica,Noite,125,40,3.12,2025,1,etec-doutor-demetrio-azevedo-junior
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,122,40,3.05,2025,1,etec-doutor-demetrio-azevedo-junior
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,192,40,4.8,2025,1,etec-doutor-demetrio-azevedo-junior
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Tarde,94,40,2.35,2025,1,etec-doutor-demetrio-azevedo-junior
Ensino Médio com Habilitação Profissional de Técnico em Informática - MTec-N,Noite,73,40,1.82,2025,1,etec-doutor-demetrio-azevedo-junior
Ensino Médio com Habilitação Profissional de Técnico em Mineração - MTec-N,Noite,80,40,2,2025,1,etec-doutor-demetrio-azevedo-junior
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Tarde,131,40,3.27,2025,1,etec-doutor-demetrio-azevedo-junior
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,113,40,2.82,2025,1,etec-doutor-demetrio-azevedo-junior
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec-N,Noite,71,40,1.77,2025,1,etec-doutor-demetrio-azevedo-junior
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec,Manhã,181,40,4.52,2025,1,etec-doutor-demetrio-azevedo-junior
Química - 20% On-line,Noite,76,40,1.9,2025,1,etec-doutor-demetrio-azevedo-junior
