curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Enfermagem,Tarde,43,30,1.43,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,206,40,5.15,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,76,40,1.9,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,261,40,6.52,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - Mtec-N,Noite,80,40,2,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,86,40,2.15,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Eletrotécnica - MTec-N,Noite,41,40,1.02,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Manhã,121,40,3.02,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - Mtec-N,Noite,66,40,1.65,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Tarde,83,40,2.07,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,223,40,5.57,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - Mtec-N,Noite,85,40,2.12,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Química - Mtec-N,Noite,39,40,0.97,2025,1,etec-doutor-domingos-minicucci-filho
Ensino Médio com Habilitação Profissional de Técnico em Segurança do Trabalho - MTec-N,Noite,36,40,0.9,2025,1,etec-doutor-domingos-minicucci-filho
