curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,64,40,1.6,2025,1,etec-doutor-emilio-hernandez-aguilar
Administração,Tarde,76,40,1.9,2025,1,etec-doutor-emilio-hernandez-aguilar
Desenvolvimento de Sistemas,Tarde,88,40,2.2,2025,1,etec-doutor-emilio-hernandez-aguilar
Desenvolvimento de Sistemas,Noite,76,40,1.9,2025,1,etec-doutor-emilio-hernandez-aguilar
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,447,40,11.17,2025,1,etec-doutor-emilio-hernandez-aguilar
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,383,40,9.57,2025,1,etec-doutor-emilio-hernandez-aguilar
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec,Manhã,169,40,4.22,2025,1,etec-doutor-emilio-hernandez-aguilar
Ensino Médio com Habilitação Profissional de Técnico em Logística - Mtec-N,Noite,65,40,1.62,2025,1,etec-doutor-emilio-hernandez-aguilar
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,340,40,8.5,2025,1,etec-doutor-emilio-hernandez-aguilar
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec,Tarde,121,40,3.02,2025,1,etec-doutor-emilio-hernandez-aguilar
Ensino Médio com Itinerário Formativo de Linguagens e suas Tecnologias,Tarde,119,40,2.97,2025,1,etec-doutor-emilio-hernandez-aguilar
