curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Alimentos,Noite,62,40,1.55,2025,1,etec-doutor-jose-luiz-viana-coutinho
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,172,40,4.3,2025,1,etec-doutor-jose-luiz-viana-coutinho
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec - AMS,Tarde,26,40,0.65,2025,1,etec-doutor-jose-luiz-viana-coutinho
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,71,40,1.77,2025,1,etec-doutor-jose-luiz-viana-coutinho
Ensino Médio com Habilitação Profissional de Técnico em Agropecuária - MTec-N,Noite,23,40,0.57,2025,1,etec-doutor-jose-luiz-viana-coutinho
Ensino Médio com Habilitação Profissional de Técnico em Agropecuária - MTec-PI,Manhã e Tarde,167,80,2.08,2025,1,etec-doutor-jose-luiz-viana-coutinho
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,131,40,3.27,2025,1,etec-doutor-jose-luiz-viana-coutinho
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec - AMS,Tarde,46,40,1.14,2025,1,etec-doutor-jose-luiz-viana-coutinho
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec,Manhã,67,40,1.67,2025,1,etec-doutor-jose-luiz-viana-coutinho
Técnico em Veterinária,Noite,63,40,1.57,2025,1,etec-doutor-jose-luiz-viana-coutinho
