curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,124,40,3.1,2025,1,etec-dr-celso-giglio
Ensino Médio com Habilitação Profissional de Técnico em Alimentos - MTec-N,Noite,19,40,0.47,2025,1,etec-dr-celso-giglio
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,369,40,9.22,2025,1,etec-dr-celso-giglio
Ensino Médio com Habilitação Profissional de Técnico em Gastronomia - MTec,Tarde,105,40,2.62,2025,1,etec-dr-celso-giglio
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec-PI,Manhã e Tarde,78,40,1.95,2025,1,etec-dr-celso-giglio
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec-PI,Manhã e Tarde,173,40,4.32,2025,1,etec-dr-celso-giglio
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec-PI,Manhã e Tarde,155,80,1.93,2025,1,etec-dr-celso-giglio
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,145,40,3.62,2025,1,etec-dr-celso-giglio
Nutrição e Dietética - 20% On-line,Noite,56,40,1.4,2025,1,etec-dr-celso-giglio
Química,Noite,64,40,1.6,2025,1,etec-dr-celso-giglio
