curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração - 20% On-line,Noite,54,40,1.35,2025,1,etec-elias-nechar
Edificações - 20% On-line,Noite,42,40,1.05,2025,1,etec-elias-nechar
Enfermagem,Tarde,41,40,1.02,2025,1,etec-elias-nechar
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,258,40,6.45,2025,1,etec-elias-nechar
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,32,40,0.8,2025,1,etec-elias-nechar
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,167,40,4.17,2025,1,etec-elias-nechar
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - Mtec-N,Noite,39,40,0.97,2025,1,etec-elias-nechar
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Manhã,128,40,3.2,2025,1,etec-elias-nechar
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,64,40,1.6,2025,1,etec-elias-nechar
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec-N,Noite,22,40,0.55,2025,1,etec-elias-nechar
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec-PI,Manhã e Tarde,145,40,3.62,2025,1,etec-elias-nechar
Soldagem,Noite,45,40,1.12,2025,1,etec-elias-nechar
