curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,83,40,2.07,2025,1,etec-fernando-prestes
Contabilidade,Noite,38,40,0.95,2025,1,etec-fernando-prestes
Desenho de Construção Civil,Noite,31,40,0.77,2025,1,etec-fernando-prestes
Desenvolvimento de Sistemas,Noite,121,40,3.02,2025,1,etec-fernando-prestes
Design de Interiores,Noite,51,40,1.27,2025,1,etec-fernando-prestes
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,72,40,1.8,2025,1,etec-fernando-prestes
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,395,40,9.87,2025,1,etec-fernando-prestes
Ensino Médio com Habilitação Profissional de Técnico em Agenciamento de Viagem - MTec,Manhã,134,40,3.35,2025,1,etec-fernando-prestes
Ensino Médio com Habilitação Profissional de Técnico em Contabilidade - MTec,Tarde,71,40,1.77,2025,1,etec-fernando-prestes
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,501,40,12.52,2025,1,etec-fernando-prestes
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Manhã,195,40,4.87,2025,1,etec-fernando-prestes
Ensino Médio com Habilitação Profissional de Técnico em Eventos - MTec,Manhã,231,40,5.77,2025,1,etec-fernando-prestes
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,177,40,4.42,2025,1,etec-fernando-prestes
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Tarde,160,40,4,2025,1,etec-fernando-prestes
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Tarde,127,40,3.17,2025,1,etec-fernando-prestes
Ensino Médio com Habilitação Profissional de Técnico em Secretariado - MTec,Tarde,96,40,2.4,2025,1,etec-fernando-prestes
Logística,Noite,44,40,1.1,2025,1,etec-fernando-prestes
Recursos Humanos,Noite,43,40,1.07,2025,1,etec-fernando-prestes
Segurança do Trabalho - 20% On-line,Noite,53,40,1.32,2025,1,etec-fernando-prestes
