curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,73,40,1.82,2025,1,etec-francisco-garcia
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,138,40,3.45,2025,1,etec-francisco-garcia
Ensino Médio com Habilitação Profissional de Técnico em Contabilidade - MTec-PI,Manhã e Tarde,53,40,1.32,2025,1,etec-francisco-garcia
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec-PI,Manhã e Tarde,99,40,2.47,2025,1,etec-francisco-garcia
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec-PI,Manhã e Tarde,72,40,1.8,2025,1,etec-francisco-garcia
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec-PI,Manhã e Tarde,94,40,2.35,2025,1,etec-francisco-garcia
Farmácia,Noite,62,40,1.55,2025,1,etec-francisco-garcia
Gastronomia,Noite,85,40,2.12,2025,1,etec-francisco-garcia
Informática,Noite,52,40,1.3,2025,1,etec-francisco-garcia
Mecânica,Noite,65,40,1.62,2025,1,etec-francisco-garcia
Segurança do Trabalho,Noite,72,40,1.8,2025,1,etec-francisco-garcia
