curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Tarde,49,40,1.22,2025,1,etec-getulio-vargas
Design de Interiores,Noite,72,40,1.8,2025,1,etec-getulio-vargas
Edificações,Noite,68,40,1.7,2025,1,etec-getulio-vargas
Eletrotécnica,Noite,60,40,1.5,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,183,35,5.22,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Alimentos - MTec,Tarde,72,35,2.05,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Manhã,114,35,3.25,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec,Manhã,258,35,7.37,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec,Tarde,82,35,2.34,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Manhã,117,35,3.34,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Tarde,89,35,2.54,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Eletroeletrônica  - MTec,Tarde,37,35,1.05,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,90,35,2.57,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Eletrotécnica - MTec,Manhã,53,35,1.51,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Tarde,209,35,5.97,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Manhã,112,35,3.2,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Manhã,186,35,5.31,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Tarde,67,35,1.91,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec-PI,Manhã e Tarde,103,35,2.94,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec-PI,Manhã e Tarde,129,35,3.68,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,215,35,6.14,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Tarde,59,35,1.68,2025,1,etec-getulio-vargas
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec,Tarde,304,35,8.68,2025,1,etec-getulio-vargas
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,147,35,4.2,2025,1,etec-getulio-vargas
Gestão de Unidades de Alimentação e Nutrição - Especialização,Noite,28,25,1.12,2025,1,etec-getulio-vargas
Mecânica,Noite,63,40,1.57,2025,1,etec-getulio-vargas
Mecatrônica,Noite,46,40,1.14,2025,1,etec-getulio-vargas
Nutrição e Dietética,Noite,62,40,1.55,2025,1,etec-getulio-vargas
Química,Noite,46,40,1.14,2025,1,etec-getulio-vargas
Redes de Computadores,Noite,59,40,1.47,2025,1,etec-getulio-vargas
Sistemas de Energia Renovável - Ead,On-line,74,40,1.85,2025,1,etec-getulio-vargas
