curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,28,40,0.7,2025,1,etec-guaracy-silveira
Edificações,Noite,82,40,2.04,2025,1,etec-guaracy-silveira
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,256,40,6.4,2025,1,etec-guaracy-silveira
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec,Tarde,212,40,5.3,2025,1,etec-guaracy-silveira
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec-PI,Manhã e Tarde,186,40,4.65,2025,1,etec-guaracy-silveira
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - Mtec-N,Noite,38,40,0.95,2025,1,etec-guaracy-silveira
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec-PI,Manhã e Tarde,119,40,2.97,2025,1,etec-guaracy-silveira
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec-PI,Manhã e Tarde,242,40,6.05,2025,1,etec-guaracy-silveira
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec-N,Noite,29,40,0.72,2025,1,etec-guaracy-silveira
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec-PI,Manhã e Tarde,140,40,3.5,2025,1,etec-guaracy-silveira
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,261,40,6.52,2025,1,etec-guaracy-silveira
Marketing,Noite,50,40,1.25,2025,1,etec-guaracy-silveira
Paisagismo,Noite,47,40,1.17,2025,1,etec-guaracy-silveira
