curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,49,40,1.22,2025,1,etec-itaquera-ii
Design de Interiores,Noite,79,40,1.97,2025,1,etec-itaquera-ii
Edificações,Noite,98,40,2.45,2025,1,etec-itaquera-ii
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,705,80,8.81,2025,1,etec-itaquera-ii
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,225,40,5.62,2025,1,etec-itaquera-ii
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,71,40,1.77,2025,1,etec-itaquera-ii
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec,Tarde,155,40,3.87,2025,1,etec-itaquera-ii
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec,Manhã,505,80,6.31,2025,1,etec-itaquera-ii
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Manhã,293,40,7.32,2025,1,etec-itaquera-ii
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Tarde,128,40,3.2,2025,1,etec-itaquera-ii
Ensino Médio com Habilitação Profissional de Técnico em Edificações - Mtec-N,Noite,18,40,0.45,2025,1,etec-itaquera-ii
