curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Desenho de Construção Civil,Noite,57,40,1.42,2025,1,etec-jacinto-ferreira-de-sa
Eletroeletrônica,Noite,65,40,1.62,2025,1,etec-jacinto-ferreira-de-sa
Enfermagem,Tarde,51,40,1.27,2025,1,etec-jacinto-ferreira-de-sa
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Tarde,58,40,1.45,2025,1,etec-jacinto-ferreira-de-sa
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec-PI,Manhã e Tarde,106,40,2.65,2025,1,etec-jacinto-ferreira-de-sa
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Tarde,59,40,1.47,2025,1,etec-jacinto-ferreira-de-sa
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,131,40,3.27,2025,1,etec-jacinto-ferreira-de-sa
Ensino Médio com Itinerário Formativo de Linguagens e suas Tecnologias,Manhã,141,40,3.52,2025,1,etec-jacinto-ferreira-de-sa
Mecânica,Noite,67,40,1.67,2025,1,etec-jacinto-ferreira-de-sa
Regência,Noite,33,40,0.82,2025,1,etec-jacinto-ferreira-de-sa
