curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Tarde,65,40,1.62,2025,1,etec-jaragua
Administração,Noite,61,40,1.52,2025,1,etec-jaragua
Eletrotécnica,Noite,58,40,1.45,2025,1,etec-jaragua
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Manhã,207,40,5.17,2025,1,etec-jaragua
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,352,40,8.8,2025,1,etec-jaragua
Ensino Médio com Habilitação Profissional de Técnico em Eletrotécnica - MTec-PI,Manhã e Tarde,111,40,2.77,2025,1,etec-jaragua
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec-PI,Manhã e Tarde,149,40,3.72,2025,1,etec-jaragua
Ensino Médio com Habilitação Profissional de Técnico em Segurança do Trabalho - MTec,Manhã,202,40,5.05,2025,1,etec-jaragua
Logística,Noite,50,40,1.25,2025,1,etec-jaragua
Manutenção e Suporte em Informática,Noite,60,40,1.5,2025,1,etec-jaragua
