curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,155,40,3.87,2025,1,etec-joao-belarmino
Eletrotécnica,Noite,106,40,2.65,2025,1,etec-joao-belarmino
Enfermagem,Tarde,73,30,2.43,2025,1,etec-joao-belarmino
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,123,40,3.07,2025,1,etec-joao-belarmino
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,50,40,1.25,2025,1,etec-joao-belarmino
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,286,40,7.15,2025,1,etec-joao-belarmino
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec-N,Noite,44,40,1.1,2025,1,etec-joao-belarmino
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Manhã,129,40,3.22,2025,1,etec-joao-belarmino
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,156,40,3.9,2025,1,etec-joao-belarmino
Ensino Médio com Habilitação Profissional de Técnico em Eventos - MTec,Manhã,184,40,4.59,2025,1,etec-joao-belarmino
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,185,40,4.62,2025,1,etec-joao-belarmino
Ensino Médio com Habilitação Profissional de Técnico em Química - Mtec-N,Noite,28,40,0.7,2025,1,etec-joao-belarmino
Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias,Manhã,152,40,3.8,2025,1,etec-joao-belarmino
Finanças,Noite,50,40,1.25,2025,1,etec-joao-belarmino
Gastronomia,Noite,74,40,1.85,2025,1,etec-joao-belarmino
Mecânica,Noite,99,40,2.47,2025,1,etec-joao-belarmino
Segurança do Trabalho,Noite,78,40,1.95,2025,1,etec-joao-belarmino
