curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração - 20% On-line,Noite,68,40,1.7,2025,1,etec-joao-gomes-de-araujo
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,135,40,3.37,2025,1,etec-joao-gomes-de-araujo
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,144,40,3.6,2025,1,etec-joao-gomes-de-araujo
Ensino Médio com Habilitação Profissional de Técnico em Informática - MTec-N,Noite,48,40,1.2,2025,1,etec-joao-gomes-de-araujo
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec-PI,Manhã e Tarde,141,40,3.52,2025,1,etec-joao-gomes-de-araujo
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec-PI,Manhã e Tarde,122,40,3.05,2025,1,etec-joao-gomes-de-araujo
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec-PI,Manhã e Tarde,117,40,2.92,2025,1,etec-joao-gomes-de-araujo
Gastronomia - 20% On-line,Noite,76,40,1.9,2025,1,etec-joao-gomes-de-araujo
Mecânica,Noite,103,40,2.57,2025,1,etec-joao-gomes-de-araujo
Serviços Jurídicos - 20% On-line,Noite,34,40,0.85,2025,1,etec-joao-gomes-de-araujo
