curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,45,40,1.12,2025,1,etec-joaquim-ferreira-do-amaral
Desenvolvimento de Sistemas,Noite,100,40,2.5,2025,1,etec-joaquim-ferreira-do-amaral
Edificações,Noite,52,40,1.3,2025,1,etec-joaquim-ferreira-do-amaral
Eletrotécnica,Noite,59,40,1.47,2025,1,etec-joaquim-ferreira-do-amaral
Enfermagem,Noite,104,40,2.6,2025,1,etec-joaquim-ferreira-do-amaral
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,201,40,5.02,2025,1,etec-joaquim-ferreira-do-amaral
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,86,40,2.15,2025,1,etec-joaquim-ferreira-do-amaral
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec-PI,Manhã e Tarde,128,40,3.2,2025,1,etec-joaquim-ferreira-do-amaral
Ensino Médio com Habilitação Profissional de Técnico em Informática - MTec-PI,Manhã e Tarde,178,40,4.45,2025,1,etec-joaquim-ferreira-do-amaral
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - Mtec-N,Noite,25,40,0.62,2025,1,etec-joaquim-ferreira-do-amaral
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-PI,Manhã e Tarde,96,40,2.4,2025,1,etec-joaquim-ferreira-do-amaral
Nutrição e Dietética,Noite,39,40,0.97,2025,1,etec-joaquim-ferreira-do-amaral
Recursos Humanos,Noite,39,40,0.97,2025,1,etec-joaquim-ferreira-do-amaral
Segurança do Trabalho,Noite,50,40,1.25,2025,1,etec-joaquim-ferreira-do-amaral
Sistemas de Energia Renovável - Ead,On-line,41,40,1.02,2025,1,etec-joaquim-ferreira-do-amaral
Soldagem,Noite,33,40,0.82,2025,1,etec-joaquim-ferreira-do-amaral
