curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Eletrotécnica,Noite,70,40,1.75,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,360,40,9,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,92,40,2.29,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Tarde,80,40,2,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec-N,Noite,24,40,0.6,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,492,40,12.3,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,103,40,2.57,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - Mtec-N,Noite,23,40,0.57,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Informática - MTec,Tarde,139,40,3.47,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Manhã,105,40,2.62,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - Mtec-N,Noite,21,40,0.52,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Manhã,237,40,5.92,2025,1,etec-jorge-street
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Tarde,91,40,2.27,2025,1,etec-jorge-street
Manutenção Automotiva,Noite,78,40,1.95,2025,1,etec-jorge-street
Mecatrônica,Noite,78,40,1.95,2025,1,etec-jorge-street
