curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Tarde,58,40,1.45,2025,1,etec-jose-martimiano-da-silva
Edificações,Noite,66,40,1.65,2025,1,etec-jose-martimiano-da-silva
Eletrônica,Noite,72,40,1.8,2025,1,etec-jose-martimiano-da-silva
Eletrotécnica,Noite,133,40,3.32,2025,1,etec-jose-martimiano-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,229,40,5.72,2025,1,etec-jose-martimiano-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec-PI,Manhã e Tarde,101,40,2.52,2025,1,etec-jose-martimiano-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec-N,Noite,20,40,0.5,2025,1,etec-jose-martimiano-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec-PI,Manhã e Tarde,132,40,3.3,2025,1,etec-jose-martimiano-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec-PI,Manhã e Tarde,45,40,1.12,2025,1,etec-jose-martimiano-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Eletrotécnica - MTec-PI,Manhã e Tarde,90,40,2.25,2025,1,etec-jose-martimiano-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Gastronomia - MTec,Manhã,151,40,3.77,2025,1,etec-jose-martimiano-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Tarde,115,40,2.87,2025,1,etec-jose-martimiano-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Tarde,89,40,2.22,2025,1,etec-jose-martimiano-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,177,40,4.42,2025,1,etec-jose-martimiano-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Secretariado - MTec,Manhã,79,40,1.97,2025,1,etec-jose-martimiano-da-silva
Mecânica,Noite,83,40,2.07,2025,1,etec-jose-martimiano-da-silva
Nutrição e Dietética,Noite,61,40,1.52,2025,1,etec-jose-martimiano-da-silva
Recursos Humanos,Noite,88,40,2.2,2025,1,etec-jose-martimiano-da-silva
Saúde Bucal,Noite,87,40,2.17,2025,1,etec-jose-martimiano-da-silva
