curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Design Gráfico,Noite,109,40,2.72,2025,1,etec-jose-rocha-mendes
Eletrotécnica,Noite,55,40,1.37,2025,1,etec-jose-rocha-mendes
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,130,40,3.25,2025,1,etec-jose-rocha-mendes
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Tarde,66,40,1.65,2025,1,etec-jose-rocha-mendes
Ensino Médio com Habilitação Profissional de Técnico em Design de Moda - MTec,Tarde,199,40,4.97,2025,1,etec-jose-rocha-mendes
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec-PI,Manhã e Tarde,202,40,5.05,2025,1,etec-jose-rocha-mendes
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,133,40,3.32,2025,1,etec-jose-rocha-mendes
Ensino Médio com Habilitação Profissional de Técnico em Eletrotécnica - MTec-N,Noite,17,40,0.42,2025,1,etec-jose-rocha-mendes
Ensino Médio com Habilitação Profissional de Técnico em Modelagem do Vestuário - MTec,Manhã,107,40,2.67,2025,1,etec-jose-rocha-mendes
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Tarde,51,40,1.27,2025,1,etec-jose-rocha-mendes
