curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Edificações,Noite,87,40,2.17,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,479,40,11.97,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,86,40,2.15,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec-N,Noite,50,40,1.25,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec-PI,Manhã e Tarde,199,40,4.97,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec-PI,Manhã e Tarde,268,40,6.7,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec-PI,Manhã e Tarde,131,40,3.27,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Eletroeletrônica  - MTec,Tarde,56,40,1.4,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,176,40,4.4,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - Mtec-N,Noite,23,40,0.57,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Manhã,122,40,3.05,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Tarde,253,40,6.32,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec,Manhã,184,40,4.59,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec-N,Noite,18,40,0.45,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Tarde,84,40,2.1,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,438,40,10.95,2025,1,etec-julio-de-mesquita
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Tarde,174,40,4.34,2025,1,etec-julio-de-mesquita
Gastronomia,Noite,120,40,3,2025,1,etec-julio-de-mesquita
Mecânica,Noite,97,40,2.42,2025,1,etec-julio-de-mesquita
Mecatrônica,Noite,166,40,4.15,2025,1,etec-julio-de-mesquita
Nutrição e Dietética - 20% On-line,Noite,112,40,2.8,2025,1,etec-julio-de-mesquita
Química,Noite,86,40,2.15,2025,1,etec-julio-de-mesquita
