curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,135,80,1.68,2025,1,etec-lauro-gomes
Automação Industrial,Noite,104,40,2.6,2025,1,etec-lauro-gomes
Contabilidade,Noite,72,40,1.8,2025,1,etec-lauro-gomes
Desenvolvimento de Sistemas,Tarde,187,40,4.67,2025,1,etec-lauro-gomes
Eletroeletrônica,Noite,91,40,2.27,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,678,40,16.95,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,130,40,3.25,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Manhã,287,40,7.17,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Comércio Exterior - MTec-N,Noite,88,40,2.2,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,538,40,13.45,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Eletroeletrônica  - MTec,Tarde,66,40,1.65,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Eletroeletrônica - MTec-N,Noite,23,40,0.57,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,145,40,3.62,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - Mtec-N,Noite,31,40,0.77,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec-PI,Manhã e Tarde,233,40,5.82,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Manhã,145,40,3.62,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-N,Noite,84,40,2.1,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-PI,Manhã e Tarde,291,80,3.63,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec,Tarde,170,40,4.25,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Química - Mtec-N,Noite,79,40,1.97,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec-PI,Manhã e Tarde,310,80,3.87,2025,1,etec-lauro-gomes
Ensino Médio com Habilitação Profissional de Técnico em Secretariado - MTec,Tarde,88,40,2.2,2025,1,etec-lauro-gomes
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,300,40,7.5,2025,1,etec-lauro-gomes
Informática para Internet,Noite,62,40,1.55,2025,1,etec-lauro-gomes
Logística,Tarde,45,40,1.12,2025,1,etec-lauro-gomes
Logística,Noite,64,40,1.6,2025,1,etec-lauro-gomes
Mecatrônica,Noite,140,40,3.5,2025,1,etec-lauro-gomes
Programação de Jogos Digitais,Noite,63,40,1.57,2025,1,etec-lauro-gomes
Química,Noite,95,40,2.37,2025,1,etec-lauro-gomes
