curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,47,40,1.17,2025,1,etec-martin-luther-king
Automação Industrial,Noite,51,40,1.27,2025,1,etec-martin-luther-king
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,255,40,6.37,2025,1,etec-martin-luther-king
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec-PI,Manhã e Tarde,150,40,3.75,2025,1,etec-martin-luther-king
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec-PI,Manhã e Tarde,373,40,9.32,2025,1,etec-martin-luther-king
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - Mtec-N,Noite,61,40,1.52,2025,1,etec-martin-luther-king
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Tarde,259,40,6.47,2025,1,etec-martin-luther-king
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-PI,Manhã e Tarde,247,40,6.17,2025,1,etec-martin-luther-king
Marketing,Noite,70,40,1.75,2025,1,etec-martin-luther-king
Mecânica,Noite,82,40,2.04,2025,1,etec-martin-luther-king
Mecatrônica,Noite,79,40,1.97,2025,1,etec-martin-luther-king
Serviços Jurídicos,Noite,90,40,2.25,2025,1,etec-martin-luther-king
