curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,30,40,0.75,2025,1,etec-padre-carlos-leoncio-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,135,40,3.37,2025,1,etec-padre-carlos-leoncio-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,134,40,3.35,2025,1,etec-padre-carlos-leoncio-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec-PI,Manhã e Tarde,146,40,3.65,2025,1,etec-padre-carlos-leoncio-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec-PI,Manhã e Tarde,79,40,1.97,2025,1,etec-padre-carlos-leoncio-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec-PI,Manhã e Tarde,127,40,3.17,2025,1,etec-padre-carlos-leoncio-da-silva
Logística - 20% On-line,Noite,47,40,1.17,2025,1,etec-padre-carlos-leoncio-da-silva
Recursos Humanos,Noite,48,40,1.2,2025,1,etec-padre-carlos-leoncio-da-silva
Segurança do Trabalho - 20% On-line,Noite,43,40,1.07,2025,1,etec-padre-carlos-leoncio-da-silva
Técnico em Qualidade,Noite,54,40,1.35,2025,1,etec-padre-carlos-leoncio-da-silva
