curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração - 20% On-line,Noite,45,40,1.12,2025,1,etec-parque-belem
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,127,40,3.17,2025,1,etec-parque-belem
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,293,40,7.32,2025,1,etec-parque-belem
Ensino Médio com Habilitação Profissional de Técnico em Eventos - MTec,Manhã,124,40,3.1,2025,1,etec-parque-belem
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,263,40,6.57,2025,1,etec-parque-belem
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Tarde,101,40,2.52,2025,1,etec-parque-belem
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,323,40,8.07,2025,1,etec-parque-belem
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Tarde,140,40,3.5,2025,1,etec-parque-belem
Informática para Internet,Tarde,56,40,1.4,2025,1,etec-parque-belem
Nutrição e Dietética - 20% On-line,Noite,56,40,1.4,2025,1,etec-parque-belem
Química - 20% On-line,Noite,60,40,1.5,2025,1,etec-parque-belem
Segurança do Trabalho - 20% On-line,Noite,55,40,1.37,2025,1,etec-parque-belem
