curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,72,40,1.8,2025,1,etec-parque-da-juventude
Biblioteconomia,Noite,97,40,2.42,2025,1,etec-parque-da-juventude
Enfermagem,Tarde,115,40,2.87,2025,1,etec-parque-da-juventude
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,124,40,3.1,2025,1,etec-parque-da-juventude
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,439,40,10.97,2025,1,etec-parque-da-juventude
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,429,40,10.72,2025,1,etec-parque-da-juventude
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,124,40,3.1,2025,1,etec-parque-da-juventude
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Manhã,269,40,6.72,2025,1,etec-parque-da-juventude
Ensino Médio com Habilitação Profissional de Técnico em Programação de Jogos Digitais - MTec,Manhã,269,40,6.72,2025,1,etec-parque-da-juventude
Finanças,Noite,74,40,1.85,2025,1,etec-parque-da-juventude
Museologia,Noite,133,40,3.32,2025,1,etec-parque-da-juventude
