curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,55,40,1.37,2025,1,etec-paulino-botelho
Desenvolvimento de Sistemas,Noite,57,40,1.42,2025,1,etec-paulino-botelho
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,298,40,7.45,2025,1,etec-paulino-botelho
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - Mtec-N,Noite,39,40,0.97,2025,1,etec-paulino-botelho
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - Mtec-N,Noite,16,40,0.4,2025,1,etec-paulino-botelho
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec-PI,Manhã e Tarde,168,40,4.2,2025,1,etec-paulino-botelho
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - Mtec-N,Noite,53,40,1.32,2025,1,etec-paulino-botelho
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-PI,Manhã e Tarde,155,40,3.87,2025,1,etec-paulino-botelho
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,82,40,2.04,2025,1,etec-paulino-botelho
Mecânica,Noite,70,40,1.75,2025,1,etec-paulino-botelho
Urgência e Emergência - APH (Atendimento Pré-Hospitalar) - Especialização,Noite,57,30,1.9,2025,1,etec-paulino-botelho
