curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,79,40,1.97,2025,1,etec-pedro-badran
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,264,40,6.6,2025,1,etec-pedro-badran
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,154,40,3.85,2025,1,etec-pedro-badran
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - Mtec-N,Noite,111,40,2.77,2025,1,etec-pedro-badran
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec-N,Noite,107,40,2.67,2025,1,etec-pedro-badran
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,198,40,4.95,2025,1,etec-pedro-badran
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec-PI,Manhã e Tarde,166,40,4.15,2025,1,etec-pedro-badran
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Tarde,154,40,3.85,2025,1,etec-pedro-badran
Química,Noite,68,40,1.7,2025,1,etec-pedro-badran
Segurança do Trabalho,Noite,125,40,3.12,2025,1,etec-pedro-badran
