curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,77,40,1.92,2025,1,etec-pedro-ferreira-alves
Desenvolvimento de Sistemas,Noite,69,40,1.72,2025,1,etec-pedro-ferreira-alves
Enfermagem,Noite,80,40,2,2025,1,etec-pedro-ferreira-alves
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,216,40,5.4,2025,1,etec-pedro-ferreira-alves
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,71,40,1.77,2025,1,etec-pedro-ferreira-alves
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,192,40,4.8,2025,1,etec-pedro-ferreira-alves
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,109,40,2.72,2025,1,etec-pedro-ferreira-alves
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec,Manhã,110,40,2.75,2025,1,etec-pedro-ferreira-alves
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Manhã,121,40,3.02,2025,1,etec-pedro-ferreira-alves
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec,Tarde,122,40,3.05,2025,1,etec-pedro-ferreira-alves
Logística,Noite,60,40,1.5,2025,1,etec-pedro-ferreira-alves
