curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,108,40,2.7,2025,1,etec-philadelpho-gouvea-netto
Contabilidade,Noite,70,40,1.75,2025,1,etec-philadelpho-gouvea-netto
Eletroeletrônica,Noite,92,40,2.29,2025,1,etec-philadelpho-gouvea-netto
Enfermagem,Tarde,70,40,1.75,2025,1,etec-philadelpho-gouvea-netto
Enfermagem,Noite,184,40,4.59,2025,1,etec-philadelpho-gouvea-netto
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,203,40,5.07,2025,1,etec-philadelpho-gouvea-netto
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - Mtec-N,Noite,71,40,1.77,2025,1,etec-philadelpho-gouvea-netto
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,375,80,4.68,2025,1,etec-philadelpho-gouvea-netto
Ensino Médio com Habilitação Profissional de Técnico em Edificações - Mtec-N,Noite,23,40,0.57,2025,1,etec-philadelpho-gouvea-netto
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec-PI,Manhã e Tarde,162,40,4.05,2025,1,etec-philadelpho-gouvea-netto
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Tarde,20,40,0.5,2025,1,etec-philadelpho-gouvea-netto
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,171,40,4.27,2025,1,etec-philadelpho-gouvea-netto
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-N,Noite,29,40,0.72,2025,1,etec-philadelpho-gouvea-netto
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-PI,Manhã e Tarde,119,40,2.97,2025,1,etec-philadelpho-gouvea-netto
Ensino Médio com Habilitação Profissional de Técnico em Prótese Dentária - MTec,Manhã,206,40,5.15,2025,1,etec-philadelpho-gouvea-netto
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,158,40,3.95,2025,1,etec-philadelpho-gouvea-netto
Finanças,Noite,57,40,1.42,2025,1,etec-philadelpho-gouvea-netto
Prótese Dentária,Noite,77,40,1.92,2025,1,etec-philadelpho-gouvea-netto
