curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,51,40,1.27,2025,1,etec-polivalente-de-americana
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,175,40,4.37,2025,1,etec-polivalente-de-americana
Ensino Médio com Habilitação Profissional de Técnico em Contabilidade - MTec-N,Noite,21,40,0.52,2025,1,etec-polivalente-de-americana
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,213,40,5.32,2025,1,etec-polivalente-de-americana
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec,Manhã,143,40,3.57,2025,1,etec-polivalente-de-americana
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec-N,Noite,36,40,0.9,2025,1,etec-polivalente-de-americana
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Manhã,114,40,2.85,2025,1,etec-polivalente-de-americana
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Manhã,84,40,2.1,2025,1,etec-polivalente-de-americana
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec,Manhã,54,40,1.35,2025,1,etec-polivalente-de-americana
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Tarde,55,40,1.37,2025,1,etec-polivalente-de-americana
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - Mtec-N,Noite,35,40,0.87,2025,1,etec-polivalente-de-americana
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Tarde,61,40,1.52,2025,1,etec-polivalente-de-americana
Ensino Médio com Itinerário Formativo de Matemática e suas Tecnologias,Manhã,72,40,1.8,2025,1,etec-polivalente-de-americana
Segurança do Trabalho,Noite,50,40,1.25,2025,1,etec-polivalente-de-americana
