curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Alimentos,Noite,45,40,1.12,2025,1,etec-prefeito-alberto-feres
Eletrotécnica,Noite,65,40,1.62,2025,1,etec-prefeito-alberto-feres
Enfermagem,Noite,120,40,3,2025,1,etec-prefeito-alberto-feres
Ensino Médio com Habilitação Profissional de Técnico em Açúcar e Álcool - MTec-N,Noite,43,40,1.07,2025,1,etec-prefeito-alberto-feres
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-PI,Manhã e Tarde,186,40,4.65,2025,1,etec-prefeito-alberto-feres
Ensino Médio com Habilitação Profissional de Técnico em Meio Ambiente - MTec-PI,Manhã e Tarde,137,40,3.42,2025,1,etec-prefeito-alberto-feres
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec-PI,Manhã e Tarde,161,40,4.02,2025,1,etec-prefeito-alberto-feres
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec-PI,Manhã e Tarde,133,40,3.32,2025,1,etec-prefeito-alberto-feres
Mecânica,Noite,32,40,0.8,2025,1,etec-prefeito-alberto-feres
Química,Noite,63,40,1.57,2025,1,etec-prefeito-alberto-feres
