curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,138,40,3.45,2025,1,etec-presidente-vargas
Automação Industrial,Noite,91,40,2.27,2025,1,etec-presidente-vargas
Edificações,Noite,75,40,1.87,2025,1,etec-presidente-vargas
Eletrotécnica,Noite,124,40,3.1,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,592,40,14.8,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Tarde,162,40,4.05,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Design de Interiores - MTec,Manhã,481,40,12.02,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Tarde,233,40,5.82,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Eletroeletrônica  - MTec,Tarde,175,40,4.37,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,230,40,5.75,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Tarde,209,40,5.22,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Manhã,507,40,12.67,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Tarde,447,40,11.17,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,370,40,9.25,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Tarde,199,40,4.97,2025,1,etec-presidente-vargas
Ensino Médio com Habilitação Profissional de Técnico em Secretariado - MTec,Manhã,299,40,7.47,2025,1,etec-presidente-vargas
Logística,Noite,73,40,1.82,2025,1,etec-presidente-vargas
Mecânica,Noite,81,40,2.02,2025,1,etec-presidente-vargas
Nutrição e Dietética,Noite,128,40,3.2,2025,1,etec-presidente-vargas
Segurança do Trabalho,Noite,80,40,2,2025,1,etec-presidente-vargas
