curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,44,40,1.1,2025,1,etec-professor-adhemar-batista-hemeritas
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,75,40,1.87,2025,1,etec-professor-adhemar-batista-hemeritas
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - Mtec-N,Noite,41,40,1.02,2025,1,etec-professor-adhemar-batista-hemeritas
Ensino Médio com Habilitação Profissional de Técnico em Eletroeletrônica - MTec-N,Noite,41,40,1.02,2025,1,etec-professor-adhemar-batista-hemeritas
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,56,40,1.4,2025,1,etec-professor-adhemar-batista-hemeritas
Ensino Médio com Habilitação Profissional de Técnico em Farmácia - MTec,Tarde,165,40,4.12,2025,1,etec-professor-adhemar-batista-hemeritas
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Manhã,97,40,2.42,2025,1,etec-professor-adhemar-batista-hemeritas
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,168,40,4.2,2025,1,etec-professor-adhemar-batista-hemeritas
Ensino Médio com Habilitação Profissional de Técnico em Programação de Jogos Digitais - MTec,Tarde,86,40,2.15,2025,1,etec-professor-adhemar-batista-hemeritas
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,86,40,2.15,2025,1,etec-professor-adhemar-batista-hemeritas
Farmácia,Noite,89,40,2.22,2025,1,etec-professor-adhemar-batista-hemeritas
