curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,68,40,1.7,2025,1,etec-professor-alfredo-de-barros-santos
Eletromecânica,Noite,91,40,2.27,2025,1,etec-professor-alfredo-de-barros-santos
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,301,40,7.52,2025,1,etec-professor-alfredo-de-barros-santos
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,302,40,7.55,2025,1,etec-professor-alfredo-de-barros-santos
Ensino Médio com Habilitação Profissional de Técnico em Design Gráfico - MTec,Tarde,261,40,6.52,2025,1,etec-professor-alfredo-de-barros-santos
Ensino Médio com Habilitação Profissional de Técnico em Eletromecânica - MTec,Tarde,201,40,5.02,2025,1,etec-professor-alfredo-de-barros-santos
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec-PI,Manhã e Tarde,250,40,6.25,2025,1,etec-professor-alfredo-de-barros-santos
Ensino Médio com Habilitação Profissional de Técnico em Segurança do Trabalho - MTec,Manhã,220,40,5.5,2025,1,etec-professor-alfredo-de-barros-santos
Informática,Noite,36,40,0.9,2025,1,etec-professor-alfredo-de-barros-santos
Mecânica,Noite,81,40,2.02,2025,1,etec-professor-alfredo-de-barros-santos
Segurança do Trabalho,Noite,53,40,1.32,2025,1,etec-professor-alfredo-de-barros-santos
