curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,70,40,1.75,2025,1,etec-professor-andre-bogasian
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,141,40,3.52,2025,1,etec-professor-andre-bogasian
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,50,40,1.25,2025,1,etec-professor-andre-bogasian
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,130,40,3.25,2025,1,etec-professor-andre-bogasian
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec-PI,Manhã e Tarde,139,40,3.47,2025,1,etec-professor-andre-bogasian
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,198,40,4.95,2025,1,etec-professor-andre-bogasian
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Tarde,69,40,1.72,2025,1,etec-professor-andre-bogasian
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec-N,Noite,43,40,1.07,2025,1,etec-professor-andre-bogasian
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,130,40,3.25,2025,1,etec-professor-andre-bogasian
Marketing,Noite,57,40,1.42,2025,1,etec-professor-andre-bogasian
