curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,47,40,1.17,2025,1,etec-professor-aprigio-gonzaga
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,69,40,1.72,2025,1,etec-professor-aprigio-gonzaga
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,290,40,7.25,2025,1,etec-professor-aprigio-gonzaga
Ensino Médio com Habilitação Profissional de Técnico em Eletromecânica - MTec,Tarde,97,40,2.42,2025,1,etec-professor-aprigio-gonzaga
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec,Manhã,147,40,3.67,2025,1,etec-professor-aprigio-gonzaga
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - Mtec-N,Noite,14,40,0.35,2025,1,etec-professor-aprigio-gonzaga
Ensino Médio com Habilitação Profissional de Técnico em Guia de Turismo - MTec,Manhã,114,40,2.85,2025,1,etec-professor-aprigio-gonzaga
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec,Manhã,94,40,2.35,2025,1,etec-professor-aprigio-gonzaga
Ensino Médio com Habilitação Profissional de Técnico em Secretariado - MTec,Manhã,125,40,3.12,2025,1,etec-professor-aprigio-gonzaga
Ensino Médio com Habilitação Profissional de Técnico em Segurança do Trabalho - MTec,Manhã,134,40,3.35,2025,1,etec-professor-aprigio-gonzaga
Higiene Ocupacional - Especialização,Noite,148,40,3.7,2025,1,etec-professor-aprigio-gonzaga
Segurança do Trabalho,Noite,68,40,1.7,2025,1,etec-professor-aprigio-gonzaga
