curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,113,40,2.82,2025,1,etec-professor-armando-bayeux-da-silva
Eletromecânica,Noite,164,40,4.09,2025,1,etec-professor-armando-bayeux-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,203,40,5.07,2025,1,etec-professor-armando-bayeux-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Automação Industrial - MTec,Manhã,112,40,2.8,2025,1,etec-professor-armando-bayeux-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - Mtec-N,Noite,119,40,2.97,2025,1,etec-professor-armando-bayeux-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,152,40,3.8,2025,1,etec-professor-armando-bayeux-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Logística - Mtec-N,Noite,72,40,1.8,2025,1,etec-professor-armando-bayeux-da-silva
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Tarde,75,40,1.87,2025,1,etec-professor-armando-bayeux-da-silva
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,242,40,6.05,2025,1,etec-professor-armando-bayeux-da-silva
Mecatrônica,Noite,91,40,2.27,2025,1,etec-professor-armando-bayeux-da-silva
