curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração - 20% On-line,Noite,48,40,1.2,2025,1,etec-professor-basilides-de-godoy
Desenvolvimento de Sistemas - 20% On-line,Tarde,68,40,1.7,2025,1,etec-professor-basilides-de-godoy
Desenvolvimento de Sistemas - 20% On-line,Noite,68,40,1.7,2025,1,etec-professor-basilides-de-godoy
Eletrotécnica,Noite,114,40,2.85,2025,1,etec-professor-basilides-de-godoy
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,103,40,2.57,2025,1,etec-professor-basilides-de-godoy
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,348,40,8.69,2025,1,etec-professor-basilides-de-godoy
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,514,40,12.85,2025,1,etec-professor-basilides-de-godoy
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec,Manhã,121,40,3.02,2025,1,etec-professor-basilides-de-godoy
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,304,40,7.6,2025,1,etec-professor-basilides-de-godoy
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Manhã,195,40,4.87,2025,1,etec-professor-basilides-de-godoy
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec,Tarde,70,40,1.75,2025,1,etec-professor-basilides-de-godoy
Ensino Médio com Habilitação Profissional de Técnico em Programação de Jogos Digitais - MTec,Manhã,215,40,5.37,2025,1,etec-professor-basilides-de-godoy
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Tarde,123,40,3.07,2025,1,etec-professor-basilides-de-godoy
Fabricação Mecânica,Noite,58,40,1.45,2025,1,etec-professor-basilides-de-godoy
Mecatrônica,Noite,68,40,1.7,2025,1,etec-professor-basilides-de-godoy
