curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Desenvolvimento de Sistemas,Noite,108,40,2.7,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,266,40,6.65,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,83,40,2.07,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Contabilidade - MTec,Manhã,138,40,3.45,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,135,40,3.37,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Manhã,486,40,12.15,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Eventos - MTec,Manhã,112,40,2.8,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Finanças - MTec,Tarde,69,40,1.72,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Finanças - MTec-N,Noite,20,40,0.5,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Gastronomia - MTec,Tarde,197,40,4.92,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Guia de Turismo - MTec,Manhã,90,40,2.25,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,336,40,8.4,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Tarde,80,40,2,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - MTec,Manhã,298,40,7.45,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Nutrição e Dietética - Mtec-N,Noite,15,40,0.37,2025,1,etec-professor-camargo-aranha
Ensino Médio com Habilitação Profissional de Técnico em Serviços Públicos - MTec,Tarde,105,40,2.62,2025,1,etec-professor-camargo-aranha
Gastronomia,Noite,74,40,1.85,2025,1,etec-professor-camargo-aranha
Marketing,Noite,53,40,1.32,2025,1,etec-professor-camargo-aranha
