curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,76,40,1.9,2025,1,etec-professor-doutor-jose-dagnoni
Enfermagem,Tarde,85,40,2.12,2025,1,etec-professor-doutor-jose-dagnoni
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,174,36,4.83,2025,1,etec-professor-doutor-jose-dagnoni
Ensino Médio com Habilitação Profissional de Técnico em Contabilidade - MTec-N,Noite,21,36,0.58,2025,1,etec-professor-doutor-jose-dagnoni
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,175,36,4.86,2025,1,etec-professor-doutor-jose-dagnoni
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec,Manhã,76,36,2.11,2025,1,etec-professor-doutor-jose-dagnoni
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,206,36,5.72,2025,1,etec-professor-doutor-jose-dagnoni
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Manhã,130,36,3.61,2025,1,etec-professor-doutor-jose-dagnoni
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,114,36,3.16,2025,1,etec-professor-doutor-jose-dagnoni
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec,Tarde,99,36,2.75,2025,1,etec-professor-doutor-jose-dagnoni
Química,Noite,77,40,1.92,2025,1,etec-professor-doutor-jose-dagnoni
