curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Tarde,46,40,1.14,2025,1,etec-professor-horacio-augusto-da-silveira
Desenvolvimento de Sistemas,Noite,106,40,2.65,2025,1,etec-professor-horacio-augusto-da-silveira
Eletromecânica,Noite,49,40,1.22,2025,1,etec-professor-horacio-augusto-da-silveira
Eletrotécnica,Noite,55,40,1.37,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Tarde,87,40,2.17,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,293,40,7.32,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-N,Noite,38,40,0.95,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Contabilidade - MTec-N,Noite,41,40,1.02,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec,Tarde,207,40,5.17,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,195,40,4.87,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Eletrônica - MTec-PI,Manhã e Tarde,66,40,1.65,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Finanças - MTec-N,Noite,33,40,0.82,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec,Manhã,112,40,2.8,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec,Manhã,138,40,3.45,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - Mtec-N,Noite,12,40,0.3,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-N,Noite,17,40,0.42,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Habilitação Profissional de Técnico em Mecatrônica - MTec-PI,Manhã e Tarde,97,40,2.42,2025,1,etec-professor-horacio-augusto-da-silveira
Ensino Médio com Itinerário Formativo de Ciências Humanas e Sociais Aplicadas,Manhã,84,40,2.1,2025,1,etec-professor-horacio-augusto-da-silveira
Equipamentos Biomédicos,Noite,46,40,1.14,2025,1,etec-professor-horacio-augusto-da-silveira
