curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração,Noite,62,40,1.55,2025,1,etec-professor-idio-zucchi
Desenvolvimento de Sistemas,Noite,62,40,1.55,2025,1,etec-professor-idio-zucchi
Enfermagem,Noite,91,40,2.27,2025,1,etec-professor-idio-zucchi
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,126,40,3.15,2025,1,etec-professor-idio-zucchi
Ensino Médio com Habilitação Profissional de Técnico em Informática - MTec-PI,Manhã e Tarde,141,40,3.52,2025,1,etec-professor-idio-zucchi
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,221,40,5.52,2025,1,etec-professor-idio-zucchi
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec-N,Noite,93,40,2.32,2025,1,etec-professor-idio-zucchi
Ensino Médio com Habilitação Profissional de Técnico em Serviços Jurídicos - MTec,Manhã,170,40,4.25,2025,1,etec-professor-idio-zucchi
Manutenção de Máquinas Pesadas,Noite,63,40,1.57,2025,1,etec-professor-idio-zucchi
Serviços Jurídicos,Noite,58,40,1.45,2025,1,etec-professor-idio-zucchi
