curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade
Administração - 20% On-line,Noite,96,40,2.4,2025,1,etec-professor-jose-santana-de-castro
Enfermagem,Noite,155,40,3.87,2025,1,etec-professor-jose-santana-de-castro
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,84,40,2.1,2025,1,etec-professor-jose-santana-de-castro
Ensino Médio com Habilitação Profissional de Técnico em Edificações - MTec,Manhã,62,40,1.55,2025,1,etec-professor-jose-santana-de-castro
Ensino Médio com Habilitação Profissional de Técnico em Edificações - Mtec-N,Noite,21,40,0.52,2025,1,etec-professor-jose-santana-de-castro
Ensino Médio com Habilitação Profissional de Técnico em Logística - MTec,Manhã,122,40,3.05,2025,1,etec-professor-jose-santana-de-castro
Ensino Médio com Habilitação Profissional de Técnico em Marketing - MTec,Manhã,158,40,3.95,2025,1,etec-professor-jose-santana-de-castro
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec-PI,Manhã e Tarde,56,40,1.4,2025,1,etec-professor-jose-santana-de-castro
Ensino Médio com Itinerário Formativo de Ciências da Natureza e suas Tecnologias,Manhã,79,40,1.97,2025,1,etec-professor-jose-santana-de-castro
Gastronomia,Noite,49,40,1.22,2025,1,etec-professor-jose-santana-de-castro
Marketing,Noite,42,40,1.05,2025,1,etec-professor-jose-santana-de-castro
Mecânica,Noite,75,40,1.87,2025,1,etec-professor-jose-santana-de-castro
